validation_set_corpus_pct,topics_range,alpha,eta,minimum_probability,bigram_min_count,coherence
1.0,8,symmetric,symmetric,0.001,7,0.3633939081021482
1.0,8,symmetric,symmetric,0.01,7,0.36700966259274376
1.0,8,symmetric,symmetric,0.1,7,0.36322061825054136
1.0,8,symmetric,auto,0.001,7,0.36322061825054136
1.0,8,symmetric,auto,0.01,7,0.36411505601338234
1.0,8,symmetric,auto,0.1,7,0.3630118689467897
1.0,8,symmetric,,0.001,7,0.3653363845960337
1.0,8,symmetric,,0.01,7,0.36700966259274376
1.0,8,symmetric,,0.1,7,0.3663923239197495
1.0,8,asymmetric,symmetric,0.001,7,0.36853835076181857
1.0,8,asymmetric,symmetric,0.01,7,0.36853835076181857
1.0,8,asymmetric,symmetric,0.1,7,0.36611579112690606
1.0,8,asymmetric,auto,0.001,7,0.3743010923911581
1.0,8,asymmetric,auto,0.01,7,0.37172509578128954
1.0,8,asymmetric,auto,0.1,7,0.36853835076181857
1.0,8,asymmetric,,0.001,7,0.37230704836676726
1.0,8,asymmetric,,0.01,7,0.37018961371651005
1.0,8,asymmetric,,0.1,7,0.37046996815997457
1.0,10,symmetric,symmetric,0.001,7,0.36266360882687093
1.0,10,symmetric,symmetric,0.01,7,0.3569716150416882
1.0,10,symmetric,symmetric,0.1,7,0.3477593200637527
1.0,10,symmetric,auto,0.001,7,0.35494708133026825
1.0,10,symmetric,auto,0.01,7,0.3650914188142406
1.0,10,symmetric,auto,0.1,7,0.3563988400859114
1.0,10,symmetric,,0.001,7,0.3473297890229582
1.0,10,symmetric,,0.01,7,0.356410739294471
1.0,10,symmetric,,0.1,7,0.35149348561548094
1.0,10,asymmetric,symmetric,0.001,7,0.346072812927025
1.0,10,asymmetric,symmetric,0.01,7,0.3475425112973033
1.0,10,asymmetric,symmetric,0.1,7,0.3461254813895079
1.0,10,asymmetric,auto,0.001,7,0.3387856107586201
1.0,10,asymmetric,auto,0.01,7,0.35096084586774523
1.0,10,asymmetric,auto,0.1,7,0.3499470197756197
